name,skin_tone,gender,age,is_face
TRAIN0001.png,0,0,1,False
TRAIN0002.png,5,1,0,True
TRAIN0005.png,1,1,0,False
TRAIN0007.png,1,0,1,True
TRAIN0009.png,7,0,1,False
TRAIN0011.png,3,0,1,True
TRAIN0012.png,3,1,2,True
TRAIN0015.png,2,0,1,True
TRAIN0018.png,4,0,1,True
TRAIN0020.png,8,1,2,True
TRAIN0022.png,7,0,0,False
TRAIN0024.png,1,0,1,True
TRAIN0025.png,4,1,0,True
TRAIN0026.png,1,1,3,True
TRAIN0027.png,4,1,2,True
TRAIN0028.png,3,0,1,True
TRAIN0030.png,2,1,2,True
TRAIN0040.png,8,1,1,True
TRAIN0043.png,4,0,1,True
TRAIN0044.png,2,0,0,True
TRAIN0048.png,8,1,2,True
TRAIN0049.png,2,1,1,True
TRAIN0051.png,2,0,2,True
TRAIN0053.png,3,1,0,True
TRAIN0054.png,7,1,1,False
TRAIN0055.png,2,0,0,False
TRAIN0057.png,1,0,2,True
TRAIN0058.png,3,0,1,True
TRAIN0060.png,3,0,0,False
TRAIN0066.png,9,1,2,True
TRAIN0067.png,3,0,1,True
TRAIN0071.png,3,1,0,True
TRAIN0072.png,1,0,1,False
TRAIN0074.png,0,1,1,False
TRAIN0077.png,3,1,2,True
TRAIN0078.png,2,1,1,False
TRAIN0081.png,4,0,1,True
TRAIN0082.png,3,0,1,True
TRAIN0084.png,6,1,2,True
TRAIN0086.png,3,1,0,True
TRAIN0087.png,2,0,1,True
TRAIN0089.png,1,0,3,False
TRAIN0090.png,4,0,0,True
TRAIN0091.png,6,1,2,True
TRAIN0094.png,6,0,0,False
TRAIN0098.png,4,0,1,False
TRAIN0104.png,7,0,2,True
TRAIN0105.png,3,1,1,False
TRAIN0109.png,4,1,1,True
TRAIN0110.png,4,0,1,True
TRAIN0113.png,7,1,2,True
TRAIN0114.png,2,1,0,True
TRAIN0115.png,2,1,0,True
TRAIN0116.png,4,1,1,False
TRAIN0117.png,2,0,0,False
TRAIN0118.png,1,0,2,True
TRAIN0121.png,2,0,1,True
TRAIN0122.png,4,1,0,True
TRAIN0124.png,4,0,0,True
TRAIN0125.png,4,1,1,False
TRAIN0126.png,3,1,0,False
TRAIN0128.png,4,1,1,True
TRAIN0129.png,0,0,1,True
TRAIN0130.png,2,0,1,False
TRAIN0133.png,4,0,0,False
TRAIN0136.png,4,1,1,True
TRAIN0137.png,6,0,0,False
TRAIN0138.png,5,1,1,True
TRAIN0139.png,3,0,1,True
TRAIN0140.png,3,0,1,False
TRAIN0141.png,7,0,1,True
TRAIN0145.png,6,1,2,False
TRAIN0146.png,6,1,1,True
TRAIN0148.png,4,0,0,False
TRAIN0151.png,6,1,1,True
TRAIN0152.png,3,1,2,True
TRAIN0153.png,3,0,1,False
TRAIN0154.png,4,0,1,False
TRAIN0155.png,5,0,2,True
TRAIN0158.png,2,0,2,False
TRAIN0159.png,2,0,1,True
TRAIN0160.png,2,1,3,True
TRAIN0162.png,2,0,1,True
TRAIN0164.png,4,0,2,True
TRAIN0165.png,5,0,1,True
TRAIN0166.png,3,0,1,True
TRAIN0170.png,4,0,0,True
TRAIN0172.png,2,1,1,True
TRAIN0176.png,1,0,0,True
TRAIN0182.png,2,1,1,True
TRAIN0183.png,1,0,2,True
TRAIN0184.png,6,0,0,False
TRAIN0186.png,4,0,1,True
TRAIN0187.png,2,0,1,True
TRAIN0189.png,5,0,1,False
TRAIN0190.png,3,0,1,False
TRAIN0191.png,3,0,2,True
TRAIN0192.png,2,0,0,True
TRAIN0193.png,2,0,1,True
TRAIN0194.png,2,1,1,True
TRAIN0196.png,4,1,1,True
TRAIN0197.png,5,0,2,False
TRAIN0198.png,8,1,0,True
TRAIN0201.png,4,1,2,True
TRAIN0202.png,3,0,0,False
TRAIN0203.png,4,1,1,True
TRAIN0204.png,3,1,1,True
TRAIN0205.png,4,0,1,True
TRAIN0206.png,3,1,1,True
TRAIN0207.png,1,0,2,False
TRAIN0208.png,2,1,1,True
TRAIN0212.png,9,0,1,True
TRAIN0213.png,6,1,1,False
TRAIN0215.png,0,0,2,True
TRAIN0219.png,1,1,2,True
TRAIN0220.png,8,1,0,True
TRAIN0223.png,2,0,1,True
TRAIN0224.png,6,0,1,True
TRAIN0225.png,7,1,1,False
TRAIN0226.png,4,0,0,True
TRAIN0228.png,2,0,2,True
TRAIN0229.png,2,0,0,True
TRAIN0231.png,6,0,3,True
TRAIN0232.png,4,0,1,False
TRAIN0233.png,0,0,2,True
TRAIN0234.png,1,0,1,True
TRAIN0236.png,2,0,1,False
TRAIN0237.png,1,0,0,True
TRAIN0238.png,3,0,2,True
TRAIN0240.png,2,0,0,True
TRAIN0241.png,5,1,2,True
TRAIN0242.png,3,0,2,True
TRAIN0243.png,7,0,0,True
TRAIN0244.png,2,1,3,True
TRAIN0246.png,3,0,1,True
TRAIN0250.png,3,1,1,True
TRAIN0253.png,3,0,1,True
TRAIN0255.png,3,1,1,False
TRAIN0256.png,7,1,0,True
TRAIN0258.png,2,0,2,True
TRAIN0261.png,1,1,2,True
TRAIN0262.png,1,0,1,False
TRAIN0264.png,2,0,1,True
TRAIN0268.png,7,1,2,True
TRAIN0269.png,4,1,2,False
TRAIN0270.png,2,0,0,True
TRAIN0271.png,2,1,1,False
TRAIN0272.png,3,1,0,True
TRAIN0273.png,4,1,1,True
TRAIN0275.png,3,1,2,True
TRAIN0278.png,4,0,2,True
TRAIN0279.png,5,1,1,True
TRAIN0281.png,2,0,1,False
TRAIN0282.png,4,0,1,True
TRAIN0283.png,6,0,0,True
TRAIN0284.png,6,0,2,True
TRAIN0289.png,3,0,1,True
TRAIN0294.png,2,1,0,False
TRAIN0296.png,8,1,0,True
TRAIN0297.png,3,0,1,True
